,station,date,prcp,tobs
0,USC00519397,2010-01-01,0.08,65
5,USC00519397,2010-01-07,0.06,70
9,USC00519397,2010-01-11,0.01,64
21,USC00519397,2010-01-24,0.01,71
23,USC00519397,2010-01-26,0.04,76
24,USC00519397,2010-01-27,0.12,68
27,USC00519397,2010-01-31,0.03,67
28,USC00519397,2010-02-01,0.01,66
30,USC00519397,2010-02-04,0.01,69
37,USC00519397,2010-02-12,0.02,69
38,USC00519397,2010-02-13,0.01,69
44,USC00519397,2010-02-20,0.03,64
52,USC00519397,2010-03-01,0.01,70
55,USC00519397,2010-03-04,0.12,70
56,USC00519397,2010-03-05,0.08,71
57,USC00519397,2010-03-06,0.03,72
59,USC00519397,2010-03-08,0.43,69
60,USC00519397,2010-03-09,0.06,70
65,USC00519397,2010-03-15,0.06,71
79,USC00519397,2010-04-02,0.01,74
80,USC00519397,2010-04-03,0.17,74
81,USC00519397,2010-04-04,0.15,71
82,USC00519397,2010-04-05,0.27,72
83,USC00519397,2010-04-06,0.01,75
85,USC00519397,2010-04-09,0.01,75
87,USC00519397,2010-04-11,0.01,73
88,USC00519397,2010-04-12,0.01,73
91,USC00519397,2010-04-16,0.01,68
95,USC00519397,2010-04-20,0.04,71
96,USC00519397,2010-04-21,0.01,75
98,USC00519397,2010-04-23,0.02,75
105,USC00519397,2010-05-02,0.03,73
106,USC00519397,2010-05-03,0.2,74
107,USC00519397,2010-05-04,0.08,76
108,USC00519397,2010-05-05,0.01,76
110,USC00519397,2010-05-07,0.05,74
118,USC00519397,2010-05-16,0.03,73
124,USC00519397,2010-05-23,0.05,75
127,USC00519397,2010-05-26,0.02,77
134,USC00519397,2010-06-02,0.01,76
158,USC00519397,2010-06-26,0.02,76
163,USC00519397,2010-07-01,0.01,75
164,USC00519397,2010-07-02,0.05,77
165,USC00519397,2010-07-03,0.09,77
166,USC00519397,2010-07-04,0.05,78
167,USC00519397,2010-07-05,0.06,78
168,USC00519397,2010-07-06,0.08,76
169,USC00519397,2010-07-07,0.08,74
170,USC00519397,2010-07-08,0.03,76
171,USC00519397,2010-07-09,0.06,74
172,USC00519397,2010-07-10,0.09,76
177,USC00519397,2010-07-17,0.02,76
179,USC00519397,2010-07-19,0.04,77
189,USC00519397,2010-07-31,0.02,77
190,USC00519397,2010-08-01,0.04,77
191,USC00519397,2010-08-02,0.01,76
192,USC00519397,2010-08-03,0.02,77
193,USC00519397,2010-08-04,0.07,77
194,USC00519397,2010-08-05,0.08,75
195,USC00519397,2010-08-06,0.03,75
204,USC00519397,2010-08-15,0.01,76
206,USC00519397,2010-08-17,0.05,74
212,USC00519397,2010-08-23,0.01,87
214,USC00519397,2010-08-25,0.04,76
215,USC00519397,2010-08-26,0.03,78
217,USC00519397,2010-08-28,0.04,79
222,USC00519397,2010-09-02,0.02,76
223,USC00519397,2010-09-03,0.04,78
224,USC00519397,2010-09-04,0.01,77
227,USC00519397,2010-09-07,0.06,76
231,USC00519397,2010-09-11,0.05,78
241,USC00519397,2010-09-22,0.04,76
249,USC00519397,2010-09-30,0.57,73
250,USC00519397,2010-10-01,0.31,78
251,USC00519397,2010-10-02,0.03,78
253,USC00519397,2010-10-04,0.06,78
267,USC00519397,2010-10-19,0.07,72
274,USC00519397,2010-10-26,0.07,76
275,USC00519397,2010-10-27,0.05,79
276,USC00519397,2010-10-28,0.06,78
277,USC00519397,2010-10-29,0.03,78
278,USC00519397,2010-10-30,0.02,77
280,USC00519397,2010-11-01,0.01,75
281,USC00519397,2010-11-02,0.01,73
288,USC00519397,2010-11-10,0.23,73
295,USC00519397,2010-11-20,0.03,69
305,USC00519397,2010-12-01,0.04,76
312,USC00519397,2010-12-10,1.58,66
313,USC00519397,2010-12-11,0.77,69
321,USC00519397,2010-12-19,1.4,71
325,USC00519397,2010-12-27,0.13,74
326,USC00519397,2010-12-28,0.55,71
327,USC00519397,2010-12-29,0.06,75
328,USC00519397,2010-12-30,0.01,75
335,USC00519397,2011-01-06,0.01,65
340,USC00519397,2011-01-11,0.09,60
342,USC00519397,2011-01-14,0.03,76
347,USC00519397,2011-01-19,0.03,64
358,USC00519397,2011-01-31,0.22,68
365,USC00519397,2011-02-07,1.29,68
366,USC00519397,2011-02-08,1.3,71
368,USC00519397,2011-02-10,0.29,71
371,USC00519397,2011-02-14,0.04,72
372,USC00519397,2011-02-15,0.05,70
375,USC00519397,2011-02-20,1.72,71
377,USC00519397,2011-02-22,0.82,71
379,USC00519397,2011-02-24,0.2,68
384,USC00519397,2011-03-01,0.1,68
387,USC00519397,2011-03-04,0.88,72
388,USC00519397,2011-03-05,0.4,69
389,USC00519397,2011-03-06,0.03,70
391,USC00519397,2011-03-09,0.2,71
392,USC00519397,2011-03-10,0.15,71
397,USC00519397,2011-03-17,0.01,73
398,USC00519397,2011-03-18,0.05,74
399,USC00519397,2011-03-19,0.01,74
400,USC00519397,2011-03-20,0.02,74
402,USC00519397,2011-03-22,0.02,74
404,USC00519397,2011-03-24,0.06,73
408,USC00519397,2011-03-28,0.04,74
411,USC00519397,2011-04-01,0.05,74
412,USC00519397,2011-04-02,0.04,75
416,USC00519397,2011-04-06,0.09,70
417,USC00519397,2011-04-07,1.11,70
418,USC00519397,2011-04-08,0.36,70
419,USC00519397,2011-04-09,0.02,76
425,USC00519397,2011-04-16,0.12,74
438,USC00519397,2011-04-30,0.04,76
441,USC00519397,2011-05-03,2.1,70
442,USC00519397,2011-05-04,0.02,76
443,USC00519397,2011-05-05,0.12,74
444,USC00519397,2011-05-06,0.12,72
445,USC00519397,2011-05-07,0.55,74
446,USC00519397,2011-05-08,0.55,73
447,USC00519397,2011-05-09,0.02,75
448,USC00519397,2011-05-10,0.11,75
449,USC00519397,2011-05-11,0.1,75
457,USC00519397,2011-05-19,0.01,77
460,USC00519397,2011-05-22,0.06,74
461,USC00519397,2011-05-23,0.02,78
469,USC00519397,2011-05-31,0.05,73
470,USC00519397,2011-06-01,0.07,77
472,USC00519397,2011-06-03,0.56,73
473,USC00519397,2011-06-04,0.89,70
477,USC00519397,2011-06-08,0.03,77
478,USC00519397,2011-06-09,0.01,77
487,USC00519397,2011-06-19,0.05,75
488,USC00519397,2011-06-20,0.06,76
489,USC00519397,2011-06-21,0.07,76
493,USC00519397,2011-06-27,0.01,77
494,USC00519397,2011-06-28,0.01,75
496,USC00519397,2011-07-01,0.05,77
497,USC00519397,2011-07-02,0.02,78
500,USC00519397,2011-07-05,0.01,78
501,USC00519397,2011-07-06,0.01,76
502,USC00519397,2011-07-07,0.01,76
504,USC00519397,2011-07-09,0.03,77
505,USC00519397,2011-07-10,0.02,77
508,USC00519397,2011-07-13,0.15,73
512,USC00519397,2011-07-17,0.04,77
516,USC00519397,2011-07-21,0.03,77
521,USC00519397,2011-07-27,0.04,77
522,USC00519397,2011-07-28,0.09,77
