,id,station,date,prcp,tobs
0,0,USC00519397,2010-01-01,0.08,65
1,5,USC00519397,2010-01-07,0.06,70
2,9,USC00519397,2010-01-11,0.01,64
3,21,USC00519397,2010-01-24,0.01,71
4,23,USC00519397,2010-01-26,0.04,76
5,24,USC00519397,2010-01-27,0.12,68
6,27,USC00519397,2010-01-31,0.03,67
7,28,USC00519397,2010-02-01,0.01,66
8,30,USC00519397,2010-02-04,0.01,69
9,37,USC00519397,2010-02-12,0.02,69
10,38,USC00519397,2010-02-13,0.01,69
11,44,USC00519397,2010-02-20,0.03,64
12,52,USC00519397,2010-03-01,0.01,70
13,55,USC00519397,2010-03-04,0.12,70
14,56,USC00519397,2010-03-05,0.08,71
15,57,USC00519397,2010-03-06,0.03,72
16,59,USC00519397,2010-03-08,0.43,69
17,60,USC00519397,2010-03-09,0.06,70
18,65,USC00519397,2010-03-15,0.06,71
19,79,USC00519397,2010-04-02,0.01,74
20,80,USC00519397,2010-04-03,0.17,74
21,81,USC00519397,2010-04-04,0.15,71
22,82,USC00519397,2010-04-05,0.27,72
23,83,USC00519397,2010-04-06,0.01,75
24,85,USC00519397,2010-04-09,0.01,75
25,87,USC00519397,2010-04-11,0.01,73
26,88,USC00519397,2010-04-12,0.01,73
27,91,USC00519397,2010-04-16,0.01,68
28,95,USC00519397,2010-04-20,0.04,71
29,96,USC00519397,2010-04-21,0.01,75
30,98,USC00519397,2010-04-23,0.02,75
31,105,USC00519397,2010-05-02,0.03,73
32,106,USC00519397,2010-05-03,0.2,74
33,107,USC00519397,2010-05-04,0.08,76
34,108,USC00519397,2010-05-05,0.01,76
35,110,USC00519397,2010-05-07,0.05,74
36,118,USC00519397,2010-05-16,0.03,73
37,124,USC00519397,2010-05-23,0.05,75
38,127,USC00519397,2010-05-26,0.02,77
39,134,USC00519397,2010-06-02,0.01,76
40,158,USC00519397,2010-06-26,0.02,76
41,163,USC00519397,2010-07-01,0.01,75
42,164,USC00519397,2010-07-02,0.05,77
43,165,USC00519397,2010-07-03,0.09,77
44,166,USC00519397,2010-07-04,0.05,78
45,167,USC00519397,2010-07-05,0.06,78
46,168,USC00519397,2010-07-06,0.08,76
47,169,USC00519397,2010-07-07,0.08,74
48,170,USC00519397,2010-07-08,0.03,76
49,171,USC00519397,2010-07-09,0.06,74
50,172,USC00519397,2010-07-10,0.09,76
51,177,USC00519397,2010-07-17,0.02,76
52,179,USC00519397,2010-07-19,0.04,77
53,189,USC00519397,2010-07-31,0.02,77
54,190,USC00519397,2010-08-01,0.04,77
55,191,USC00519397,2010-08-02,0.01,76
56,192,USC00519397,2010-08-03,0.02,77
57,193,USC00519397,2010-08-04,0.07,77
58,194,USC00519397,2010-08-05,0.08,75
59,195,USC00519397,2010-08-06,0.03,75
60,204,USC00519397,2010-08-15,0.01,76
61,206,USC00519397,2010-08-17,0.05,74
62,212,USC00519397,2010-08-23,0.01,87
63,214,USC00519397,2010-08-25,0.04,76
64,215,USC00519397,2010-08-26,0.03,78
65,217,USC00519397,2010-08-28,0.04,79
66,222,USC00519397,2010-09-02,0.02,76
67,223,USC00519397,2010-09-03,0.04,78
68,224,USC00519397,2010-09-04,0.01,77
69,227,USC00519397,2010-09-07,0.06,76
70,231,USC00519397,2010-09-11,0.05,78
71,241,USC00519397,2010-09-22,0.04,76
72,249,USC00519397,2010-09-30,0.57,73
73,250,USC00519397,2010-10-01,0.31,78
74,251,USC00519397,2010-10-02,0.03,78
75,253,USC00519397,2010-10-04,0.06,78
76,267,USC00519397,2010-10-19,0.07,72
77,274,USC00519397,2010-10-26,0.07,76
78,275,USC00519397,2010-10-27,0.05,79
79,276,USC00519397,2010-10-28,0.06,78
80,277,USC00519397,2010-10-29,0.03,78
81,278,USC00519397,2010-10-30,0.02,77
82,280,USC00519397,2010-11-01,0.01,75
