,station,date,prcp,tobs,name,latitude,longitude,elevation
0,USC00519397,2010-01-01,0.08,65,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
1,USC00519397,2010-01-07,0.06,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
2,USC00519397,2010-01-11,0.01,64,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
3,USC00519397,2010-01-24,0.01,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
4,USC00519397,2010-01-26,0.04,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
5,USC00519397,2010-01-27,0.12,68,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
6,USC00519397,2010-01-31,0.03,67,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
7,USC00519397,2010-02-01,0.01,66,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
8,USC00519397,2010-02-04,0.01,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
9,USC00519397,2010-02-12,0.02,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
10,USC00519397,2010-02-13,0.01,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
11,USC00519397,2010-02-20,0.03,64,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
12,USC00519397,2010-03-01,0.01,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
13,USC00519397,2010-03-04,0.12,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
14,USC00519397,2010-03-05,0.08,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
15,USC00519397,2010-03-06,0.03,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
16,USC00519397,2010-03-08,0.43,69,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
17,USC00519397,2010-03-09,0.06,70,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
18,USC00519397,2010-03-15,0.06,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
19,USC00519397,2010-04-02,0.01,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
20,USC00519397,2010-04-03,0.17,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
21,USC00519397,2010-04-04,0.15,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
22,USC00519397,2010-04-05,0.27,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
23,USC00519397,2010-04-06,0.01,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
24,USC00519397,2010-04-09,0.01,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
25,USC00519397,2010-04-11,0.01,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
26,USC00519397,2010-04-12,0.01,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
27,USC00519397,2010-04-16,0.01,68,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
28,USC00519397,2010-04-20,0.04,71,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
29,USC00519397,2010-04-21,0.01,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
30,USC00519397,2010-04-23,0.02,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
31,USC00519397,2010-05-02,0.03,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
32,USC00519397,2010-05-03,0.2,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
33,USC00519397,2010-05-04,0.08,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
34,USC00519397,2010-05-05,0.01,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
35,USC00519397,2010-05-07,0.05,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
36,USC00519397,2010-05-16,0.03,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
37,USC00519397,2010-05-23,0.05,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
38,USC00519397,2010-05-26,0.02,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
39,USC00519397,2010-06-02,0.01,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
40,USC00519397,2010-06-26,0.02,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
41,USC00519397,2010-07-01,0.01,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
42,USC00519397,2010-07-02,0.05,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
43,USC00519397,2010-07-03,0.09,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
44,USC00519397,2010-07-04,0.05,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
45,USC00519397,2010-07-05,0.06,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
46,USC00519397,2010-07-06,0.08,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
47,USC00519397,2010-07-07,0.08,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
48,USC00519397,2010-07-08,0.03,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
49,USC00519397,2010-07-09,0.06,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
50,USC00519397,2010-07-10,0.09,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
51,USC00519397,2010-07-17,0.02,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
52,USC00519397,2010-07-19,0.04,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
53,USC00519397,2010-07-31,0.02,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
54,USC00519397,2010-08-01,0.04,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
55,USC00519397,2010-08-02,0.01,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
56,USC00519397,2010-08-03,0.02,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
57,USC00519397,2010-08-04,0.07,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
58,USC00519397,2010-08-05,0.08,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
59,USC00519397,2010-08-06,0.03,75,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
60,USC00519397,2010-08-15,0.01,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
61,USC00519397,2010-08-17,0.05,74,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
62,USC00519397,2010-08-23,0.01,87,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
63,USC00519397,2010-08-25,0.04,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
64,USC00519397,2010-08-26,0.03,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
65,USC00519397,2010-08-28,0.04,79,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
66,USC00519397,2010-09-02,0.02,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
67,USC00519397,2010-09-03,0.04,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
68,USC00519397,2010-09-04,0.01,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
69,USC00519397,2010-09-07,0.06,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
70,USC00519397,2010-09-11,0.05,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
71,USC00519397,2010-09-22,0.04,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
72,USC00519397,2010-09-30,0.57,73,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
73,USC00519397,2010-10-01,0.31,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
74,USC00519397,2010-10-02,0.03,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
75,USC00519397,2010-10-04,0.06,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
76,USC00519397,2010-10-19,0.07,72,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
77,USC00519397,2010-10-26,0.07,76,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
78,USC00519397,2010-10-27,0.05,79,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
79,USC00519397,2010-10-28,0.06,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
80,USC00519397,2010-10-29,0.03,78,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
81,USC00519397,2010-10-30,0.02,77,"WAIKIKI 717.2, HI US",21.2716,-157.8168,3.0
